title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Solo: A Star Wars Story,"$213,767,512","$392,924,807",Walt Disney Studios Motion Pictures,"$84,420,489","4,381","$275,000,000",PG-13,"Action,Adventure,Sci-Fi",221
A Star Is Born,"$215,288,866","$436,188,866",Warner Bros.,"$42,908,051","3,686","$36,000,000",R,"Drama,Music,Romance",494
Storks,"$72,679,278","$183,388,953",Warner Bros.,"$21,311,407","3,922","$70,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy",465
Mission: Impossible - Fallout,"$220,159,104","$791,115,104",Paramount Pictures,"$61,236,534","4,386","$178,000,000",PG-13,"Action,Adventure,Thriller",158
Dr. Seuss' The Grinch,"$270,620,950","$511,595,957",Universal Pictures,"$67,572,855","4,141","$75,000,000",PG,"Animation,Family,Fantasy",459
Jumanji: Welcome to the Jungle,"$404,515,480","$962,077,546",Sony Pictures Releasing,"$36,169,328","3,765","$90,000,000",PG-13,"Action,Adventure,Comedy,Fantasy",377
Deadpool 2,"$318,491,426","$734,546,611",Twentieth Century Fox,"$125,507,153","4,349","$110,000,000",R,"Action,Adventure,Comedy,Sci-Fi",228
Jurassic World: Fallen Kingdom,"$417,719,760","$1,308,467,944",Universal Pictures,"$148,024,610","4,475","$170,000,000",PG-13,"Action,Adventure,Sci-Fi",193
Miss Peregrine's Home for Peculiar Children,"$87,242,834","$296,482,446",Twentieth Century Fox,"$28,871,140","3,522","$110,000,000",PG-13,"Adventure,Drama,Fantasy,Thriller",458
Dunkirk,"$1,695,119","$1,695,119",Warner Bros.,"$122,115",53,"$100,000,000",PG-13,"Action,Drama,History,Thriller,War",396
Alien,"$833,658","$1,356,259",Fathom Events,"$386,976",682,"$11,000,000",R,"Horror,Sci-Fi",121
BlacKkKlansman,"$49,275,340","$93,400,823",Focus Features,"$10,845,330","1,512","$15,000,000",R,"Biography,Crime,Drama",550
The Accountant,"$86,260,045","$155,160,045",Warner Bros.,"$24,710,273","3,332","$44,000,000",R,"Action,Crime,Drama,Thriller",444
Allied,"$40,098,064","$119,520,023",Paramount Pictures,"$12,701,743","3,160","$85,000,000",R,"Action,Drama,Romance,Thriller,War",404
The Wizard of Oz,"$2,076,020","$2,076,020",Fathom Events,"$1,195,606",681,"$2,777,000",PG,"Adventure,Family,Fantasy,Musical",339
Titanic,"$691,642","$691,642",Paramount Pictures,"$438,602",87,"$200,000,000",PG-13,"Drama,Romance",35
Instant Family,"$67,363,237","$120,556,201",Paramount Pictures,"$14,504,315","3,286","$48,000,000",PG-13,"Comedy,Drama",411
Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","$654,855,901",Warner Bros.,"$62,163,104","4,163","$200,000,000",PG-13,"Adventure,Family,Fantasy",452
Creed II,"$115,715,889","$214,215,889",Metro-Goldwyn-Mayer (MGM),"$35,574,710","3,441","$50,000,000",PG-13,"Drama,Sport",447
Terminator 2: Judgment Day,"$1,037,809","$3,931,111",Distrib Films,"$552,773",371,"$102,000,000",R,"Action,Sci-Fi",129
Casablanca,"$1,024,560","$1,024,560",Fathom Events,"$596,068",725,"$950,000",PG,"Drama,Romance,War",54
Dr. Seuss' The Grinch,"$270,620,950","$511,595,957",Universal Pictures,"$67,572,855","4,141","$75,000,000",PG,"Animation,Family,Fantasy",459
Don't Let Go,"$5,215,062","$5,288,011",OTL Releasing,"$2,338,669",922,"$5,000,000",R,"Drama,Horror,Mystery,Thriller",165
The Goldfinch,"$5,332,621","$10,537,581",Warner Bros.,"$2,679,027","2,542","$45,000,000",R,Drama,151
A Ghost Story,"$1,596,371","$1,951,683",A24,"$104,030",4,"$100,000",R,"Drama,Fantasy,Romance",178
The Post,"$81,903,458","$179,769,457",Twentieth Century Fox,"$526,011",9,"$50,000,000",PG-13,"Biography,Drama,History,Thriller",375
Black Christmas,"$10,429,730","$18,529,730",Universal Pictures,"$4,240,245","2,625","$5,000,000",PG-13,"Horror,Mystery,Thriller",60
The Best of Enemies,"$10,205,616","$10,209,813",STX Entertainment,"$4,446,190","1,705","$10,000,000",PG-13,"Biography,Drama,History",312
Motherless Brooklyn,"$9,277,736","$18,377,736",Warner Bros.,"$3,500,454","1,342","$26,000,000",R,"Crime,Drama,Mystery",102
